File: series_51
Data points: 1984
Detected representative subsequence: 8

Representative subsequence 1: position=[89,129]
Representative subsequence 2: position=[550,590]
Representative subsequence 3: position=[601,665]
Representative subsequence 4: position=[1107,1147]
Representative subsequence 5: position=[1183,1223]
Representative subsequence 6: position=[1236,1276]
Representative subsequence 7: position=[1662,1702]
Representative subsequence 8: position=[1748,1788]

==== ClaSP Scores ====
Timestep, Score
100, 0.770078
120, 0.801656
140, 0.771304
160, 0.747877
180, 0.733705
200, 0.742865
220, 0.753108
240, 0.746700
260, 0.746973
280, 0.752232
300, 0.736048
320, 0.730854
340, 0.731016
360, 0.753651
380, 0.751735
400, 0.756073
420, 0.754812
440, 0.748190
460, 0.758093
480, 0.774589
500, 0.787710
520, 0.790007
540, 0.803593
560, 0.812972
580, 0.819398
600, 0.827631
620, 0.829547
640, 0.825979
660, 0.819535
680, 0.807738
700, 0.801723
720, 0.806499
740, 0.797717
760, 0.789650
780, 0.780862
800, 0.786575
820, 0.794264
840, 0.793965
860, 0.792395
880, 0.801609
900, 0.795855
920, 0.784557
940, 0.773454
960, 0.774987
980, 0.780053
1000, 0.782792
1020, 0.775429
1040, 0.776373
1060, 0.781767
1080, 0.792255
1100, 0.802155
1120, 0.814833
1140, 0.815128
1160, 0.804365
1180, 0.805858
1200, 0.817156
1220, 0.812439
1240, 0.811498
1260, 0.813045
1280, 0.804772
1300, 0.781249
1320, 0.762988
1340, 0.748991
1360, 0.751119
1380, 0.778790
1400, 0.802145
1420, 0.756599
1440, 0.747714
1460, 0.739175
1480, 0.742142
1500, 0.749669
1520, 0.761270
1540, 0.765730
1560, 0.772424
1580, 0.766776
1600, 0.762801
1620, 0.765337
1640, 0.785008
1660, 0.802359
1680, 0.815716
1700, 0.791703
1720, 0.770041
1740, 0.801573
1760, 0.822255
1780, 0.792499
1800, 0.738570
1820, 0.684215
1840, 0.690002
