File: series_52
Data points: 1472
Detected representative subsequence: 5

Representative subsequence 1: position=[93,134]
Representative subsequence 2: position=[153,193]
Representative subsequence 3: position=[665,727]
Representative subsequence 4: position=[1181,1295]
Representative subsequence 5: position=[1297,1337]

==== ClaSP Scores ====
Timestep, Score
100, 0.890838
120, 0.901583
140, 0.859151
160, 0.836929
180, 0.817045
200, 0.790788
220, 0.771935
240, 0.798931
260, 0.785768
280, 0.763876
300, 0.762883
320, 0.760109
340, 0.776327
360, 0.786439
380, 0.796102
400, 0.802769
420, 0.785110
440, 0.782558
460, 0.785722
480, 0.783341
500, 0.782209
520, 0.781281
540, 0.794936
560, 0.803240
580, 0.790833
600, 0.793510
620, 0.781896
640, 0.788292
660, 0.806461
680, 0.815037
700, 0.811809
720, 0.804640
740, 0.793080
760, 0.797347
780, 0.791633
800, 0.797680
820, 0.800155
840, 0.791724
860, 0.782116
880, 0.775667
900, 0.767986
920, 0.769043
940, 0.775603
960, 0.780110
980, 0.770940
1000, 0.771668
1020, 0.773352
1040, 0.779255
1060, 0.788797
1080, 0.787303
1100, 0.790365
1120, 0.805991
1140, 0.824027
1160, 0.850524
1180, 0.870000
1200, 0.894233
1220, 0.891611
1240, 0.881314
1260, 0.878777
1280, 0.885631
1300, 0.873841
