File: series_50
Data points: 2112
Detected representative subsequence: 10

Representative subsequence 1: position=[110,130]
Representative subsequence 2: position=[131,212]
Representative subsequence 3: position=[215,290]
Representative subsequence 4: position=[294,367]
Representative subsequence 5: position=[437,477]
Representative subsequence 6: position=[1272,1312]
Representative subsequence 7: position=[1319,1501]
Representative subsequence 8: position=[1514,1766]
Representative subsequence 9: position=[1816,1856]
Representative subsequence 10: position=[1872,1997]

==== ClaSP Scores ====
Timestep, Score
100, 0.695632
120, 0.751550
140, 0.773674
160, 0.827310
180, 0.867650
200, 0.867168
220, 0.858602
240, 0.865353
260, 0.876567
280, 0.888632
300, 0.907261
320, 0.906835
340, 0.890886
360, 0.882267
380, 0.860511
400, 0.847987
420, 0.832040
440, 0.811770
460, 0.814268
480, 0.807036
500, 0.790428
520, 0.776895
540, 0.768249
560, 0.760854
580, 0.761758
600, 0.753994
620, 0.747877
640, 0.751580
660, 0.757679
680, 0.773040
700, 0.777832
720, 0.768470
740, 0.760186
760, 0.763021
780, 0.758980
800, 0.755752
820, 0.752932
840, 0.748836
860, 0.746741
880, 0.748436
900, 0.754360
920, 0.743862
940, 0.743302
960, 0.747019
980, 0.759132
1000, 0.771781
1020, 0.774264
1040, 0.773727
1060, 0.773862
1080, 0.777123
1100, 0.778338
1120, 0.772621
1140, 0.773803
1160, 0.775694
1180, 0.779348
1200, 0.788543
1220, 0.793304
1240, 0.802601
1260, 0.814272
1280, 0.824454
1300, 0.832717
1320, 0.840205
1340, 0.854184
1360, 0.863780
1380, 0.868933
1400, 0.868764
1420, 0.870738
1440, 0.872549
1460, 0.879380
1480, 0.882473
1500, 0.880992
1520, 0.892580
1540, 0.900456
1560, 0.908330
1580, 0.906866
1600, 0.898167
1620, 0.890480
1640, 0.886310
1660, 0.887041
1680, 0.897685
1700, 0.897385
1720, 0.897726
1740, 0.890834
1760, 0.882688
1780, 0.891646
1800, 0.915719
1820, 0.936971
1840, 0.945201
1860, 0.929801
1880, 0.917013
1900, 0.911106
1920, 0.906001
1940, 0.925519
1960, 0.930057
