File: series_28
Data points: 1536
Detected representative subsequence: 6

Representative subsequence 1: position=[98,146]
Representative subsequence 2: position=[163,203]
Representative subsequence 3: position=[213,307]
Representative subsequence 4: position=[327,403]
Representative subsequence 5: position=[425,509]
Representative subsequence 6: position=[524,624]

==== ClaSP Scores ====
Timestep, Score
100, 0.810726
120, 0.829204
140, 0.810712
160, 0.806078
180, 0.847138
200, 0.842741
220, 0.857873
240, 0.867122
260, 0.865991
280, 0.867920
300, 0.860512
320, 0.878973
340, 0.890066
360, 0.898557
380, 0.900649
400, 0.886644
420, 0.870439
440, 0.861721
460, 0.852674
480, 0.839628
500, 0.836672
520, 0.826313
540, 0.818155
560, 0.819040
580, 0.814035
600, 0.811920
620, 0.810299
640, 0.797825
660, 0.795013
680, 0.795199
700, 0.784774
720, 0.783043
740, 0.776352
760, 0.771395
780, 0.761559
800, 0.749064
820, 0.740113
840, 0.739591
860, 0.747274
880, 0.776418
900, 0.762221
920, 0.732717
940, 0.731885
960, 0.735698
980, 0.735828
1000, 0.741849
1020, 0.739494
1040, 0.735639
1060, 0.731319
1080, 0.733491
1100, 0.730892
1120, 0.718843
1140, 0.705413
1160, 0.711894
1180, 0.726250
1200, 0.733880
1220, 0.724688
1240, 0.737097
1260, 0.727224
1280, 0.739301
1300, 0.751508
1320, 0.738417
1340, 0.713556
1360, 0.673418
1380, 0.684028
1400, 0.664726
