File: series_6
Data points: 2752
Detected representative subsequence: 5

Representative subsequence 1: position=[80,120]
Representative subsequence 2: position=[128,148]
Representative subsequence 3: position=[304,324]
Representative subsequence 4: position=[329,351]
Representative subsequence 5: position=[1130,1170]

==== ClaSP Scores ====
Timestep, Score
100, 0.825998
120, 0.790808
140, 0.764741
160, 0.744977
180, 0.730146
200, 0.719397
220, 0.709820
240, 0.697258
260, 0.695123
280, 0.701629
300, 0.715148
320, 0.708757
340, 0.705896
360, 0.693121
380, 0.707768
400, 0.708796
420, 0.698247
440, 0.692342
460, 0.697131
480, 0.692377
500, 0.696625
520, 0.689056
540, 0.684787
560, 0.676152
580, 0.668632
600, 0.665644
620, 0.672966
640, 0.673370
660, 0.664695
680, 0.654839
700, 0.657173
720, 0.658186
740, 0.661142
760, 0.676624
780, 0.676201
800, 0.680697
820, 0.690582
840, 0.694030
860, 0.696217
880, 0.693618
900, 0.699513
920, 0.707573
940, 0.711933
960, 0.719956
980, 0.731420
1000, 0.738589
1020, 0.751147
1040, 0.766928
1060, 0.778380
1080, 0.792253
1100, 0.806465
1120, 0.821156
1140, 0.832422
1160, 0.827213
1180, 0.808999
1200, 0.796532
1220, 0.788918
1240, 0.784400
1260, 0.795021
1280, 0.802522
1300, 0.789368
1320, 0.787874
1340, 0.786978
1360, 0.789053
1380, 0.788816
1400, 0.780532
1420, 0.767107
1440, 0.770817
1460, 0.760706
1480, 0.754338
1500, 0.747051
1520, 0.713846
1540, 0.710514
1560, 0.710186
1580, 0.709550
1600, 0.715003
1620, 0.720852
1640, 0.725138
1660, 0.726270
1680, 0.726445
1700, 0.727337
1720, 0.730682
1740, 0.728257
1760, 0.718456
1780, 0.702893
1800, 0.694637
1820, 0.689823
1840, 0.679293
1860, 0.673269
1880, 0.673334
1900, 0.680520
1920, 0.682786
1940, 0.678948
1960, 0.676507
1980, 0.680423
2000, 0.673400
2020, 0.669603
2040, 0.660650
2060, 0.661533
2080, 0.665492
2100, 0.666593
2120, 0.668009
2140, 0.661208
2160, 0.651041
2180, 0.647148
2200, 0.636975
2220, 0.633543
2240, 0.638458
2260, 0.640534
2280, 0.646236
2300, 0.653103
2320, 0.660828
2340, 0.661609
2360, 0.664800
2380, 0.672533
2400, 0.670355
2420, 0.677351
2440, 0.685906
2460, 0.693012
2480, 0.684841
2500, 0.689073
2520, 0.699152
2540, 0.710026
2560, 0.721774
2580, 0.733863
2600, 0.758761
