File: series_15
Data points: 999
Detected representative subsequence: 2

Representative subsequence 1: position=[381,456]
Representative subsequence 2: position=[573,613]

==== ClaSP Scores ====
Timestep, Score
100, 0.647319
120, 0.672174
140, 0.695533
160, 0.717580
180, 0.738471
200, 0.758345
220, 0.777320
240, 0.795502
260, 0.812986
280, 0.829855
300, 0.846185
320, 0.862042
340, 0.877490
360, 0.892585
380, 0.907380
400, 0.908133
420, 0.877513
440, 0.848072
460, 0.821464
480, 0.793216
500, 0.766608
520, 0.776843
540, 0.798262
560, 0.820504
580, 0.834090
600, 0.841766
620, 0.823786
640, 0.778489
660, 0.740184
680, 0.723801
700, 0.708036
720, 0.687529
740, 0.671198
760, 0.647105
780, 0.591121
800, 0.570110
820, 0.577735
