File: series_16
Data points: 999
Detected representative subsequence: 2

Representative subsequence 1: position=[100,120]
Representative subsequence 2: position=[275,350]

==== ClaSP Scores ====
Timestep, Score
100, 0.616769
120, 0.599468
140, 0.581161
160, 0.566820
180, 0.578026
200, 0.650046
220, 0.703065
240, 0.717655
260, 0.749077
280, 0.775714
300, 0.794709
320, 0.788866
340, 0.771364
360, 0.748611
380, 0.739300
400, 0.751640
420, 0.752824
440, 0.752042
460, 0.739916
480, 0.719902
500, 0.709124
520, 0.716470
540, 0.719750
560, 0.715540
580, 0.710339
600, 0.697222
620, 0.685524
640, 0.664410
660, 0.638704
680, 0.657721
700, 0.640590
720, 0.619130
740, 0.581712
760, 0.561087
780, 0.544119
800, 0.534193
820, 0.540041
