File: series_20
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[126,166]
Representative subsequence 2: position=[294,317]
Representative subsequence 3: position=[337,411]

==== ClaSP Scores ====
Timestep, Score
100, 0.593833
120, 0.663350
140, 0.686623
160, 0.677302
180, 0.667719
200, 0.694463
220, 0.697015
240, 0.701767
260, 0.738903
280, 0.779271
300, 0.788695
320, 0.781916
340, 0.817105
360, 0.830252
380, 0.804888
400, 0.810983
420, 0.777347
440, 0.733599
460, 0.703811
480, 0.691346
500, 0.682398
520, 0.714642
540, 0.746341
560, 0.739654
580, 0.695871
600, 0.733326
620, 0.760534
640, 0.755287
660, 0.687702
680, 0.691208
700, 0.644165
720, 0.601514
740, 0.565703
760, 0.550930
780, 0.555614
800, 0.544877
820, 0.554001
840, 0.563935
860, 0.570958
