File: series_1
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[122,146]
Representative subsequence 2: position=[196,298]
Representative subsequence 3: position=[333,356]

==== ClaSP Scores ====
Timestep, Score
100, 0.602948
120, 0.695783
140, 0.737067
160, 0.743634
180, 0.789286
200, 0.817459
220, 0.829387
240, 0.819858
260, 0.805470
280, 0.798894
300, 0.785991
320, 0.775159
340, 0.771019
360, 0.765255
380, 0.742584
400, 0.755848
420, 0.770201
440, 0.759636
460, 0.733713
480, 0.697349
500, 0.689470
520, 0.716808
540, 0.705170
560, 0.672444
580, 0.670994
600, 0.656072
620, 0.681857
640, 0.718886
660, 0.738572
680, 0.597582
700, 0.549504
720, 0.547772
740, 0.545900
760, 0.559128
780, 0.582533
800, 0.600960
820, 0.611172
840, 0.612162
860, 0.624143
