File: series_10
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[139,159]
Representative subsequence 2: position=[191,269]
Representative subsequence 3: position=[288,309]

==== ClaSP Scores ====
Timestep, Score
100, 0.563389
120, 0.716295
140, 0.794187
160, 0.785333
180, 0.832726
200, 0.868719
220, 0.871126
240, 0.838926
260, 0.838093
280, 0.806781
300, 0.787807
320, 0.760178
340, 0.728916
360, 0.714767
380, 0.700105
400, 0.711231
420, 0.739563
440, 0.736080
460, 0.717674
480, 0.730502
500, 0.731468
520, 0.739199
540, 0.766897
560, 0.745142
580, 0.730701
600, 0.725738
620, 0.731638
640, 0.767469
660, 0.792443
680, 0.783641
700, 0.704090
720, 0.670433
740, 0.646326
760, 0.626899
780, 0.630711
800, 0.673719
820, 0.680343
840, 0.676245
860, 0.665272
