File: series_19
Data points: 999
Detected representative subsequence: 2

Representative subsequence 1: position=[125,165]
Representative subsequence 2: position=[229,315]

==== ClaSP Scores ====
Timestep, Score
100, 0.557021
120, 0.602428
140, 0.654738
160, 0.659184
180, 0.696168
200, 0.754533
220, 0.810231
240, 0.844145
260, 0.842829
280, 0.806090
300, 0.798697
320, 0.769899
340, 0.755476
360, 0.713476
380, 0.672752
400, 0.697289
420, 0.727679
440, 0.720789
460, 0.589305
480, 0.572029
500, 0.568416
520, 0.549631
540, 0.553443
560, 0.569283
580, 0.571835
600, 0.591099
620, 0.605258
640, 0.636121
660, 0.672746
680, 0.683806
700, 0.650547
720, 0.628257
740, 0.631782
760, 0.644121
780, 0.649513
800, 0.657678
820, 0.656942
840, 0.644649
