File: series_7
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[125,148]
Representative subsequence 2: position=[239,269]
Representative subsequence 3: position=[333,353]

==== ClaSP Scores ====
Timestep, Score
100, 0.559895
120, 0.614522
140, 0.648993
160, 0.689321
180, 0.728610
200, 0.753696
220, 0.749585
240, 0.766703
260, 0.760893
280, 0.761701
300, 0.737027
320, 0.705754
340, 0.675646
360, 0.667845
380, 0.640204
400, 0.619206
420, 0.604170
440, 0.592988
460, 0.575477
480, 0.565205
500, 0.584554
520, 0.591596
540, 0.587259
560, 0.581898
580, 0.592646
600, 0.625378
620, 0.661228
640, 0.693407
660, 0.676144
680, 0.643592
700, 0.535932
720, 0.539643
740, 0.552640
760, 0.568649
780, 0.583549
800, 0.594817
820, 0.623764
840, 0.651071
860, 0.645202
