File: series_0
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[106,126]
Representative subsequence 2: position=[199,219]
Representative subsequence 3: position=[273,293]

==== ClaSP Scores ====
Timestep, Score
100, 0.779870
120, 0.783672
140, 0.778221
160, 0.781134
180, 0.779236
200, 0.793167
220, 0.758371
240, 0.735655
260, 0.769289
280, 0.770775
300, 0.737624
320, 0.721092
340, 0.721541
360, 0.681021
380, 0.654378
400, 0.691215
420, 0.676534
440, 0.638928
460, 0.632874
480, 0.660095
500, 0.692551
520, 0.707378
540, 0.720385
560, 0.689336
580, 0.694253
600, 0.682752
620, 0.650930
640, 0.607372
660, 0.553864
680, 0.516574
700, 0.529505
720, 0.545738
740, 0.564994
760, 0.577589
780, 0.597783
800, 0.619878
820, 0.643404
840, 0.664851
860, 0.689102
