File: series_17
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[101,124]
Representative subsequence 2: position=[232,264]
Representative subsequence 3: position=[316,340]

==== ClaSP Scores ====
Timestep, Score
100, 0.546349
120, 0.541638
140, 0.536908
160, 0.532613
180, 0.539093
200, 0.629898
220, 0.699848
240, 0.715233
260, 0.698166
280, 0.685340
300, 0.673582
320, 0.666389
340, 0.656898
360, 0.636158
380, 0.624323
400, 0.646270
420, 0.648959
440, 0.640552
460, 0.626367
480, 0.599566
500, 0.585956
520, 0.592882
540, 0.592763
560, 0.596507
580, 0.600758
600, 0.605996
620, 0.614027
640, 0.595783
660, 0.562079
680, 0.556662
700, 0.551637
720, 0.534277
740, 0.541183
760, 0.548151
780, 0.551330
800, 0.555727
820, 0.534168
