File: series_14
Data points: 999
Detected representative subsequence: 4

Representative subsequence 1: position=[100,120]
Representative subsequence 2: position=[390,410]
Representative subsequence 3: position=[437,458]
Representative subsequence 4: position=[549,569]

==== ClaSP Scores ====
Timestep, Score
100, 0.563083
120, 0.558020
140, 0.553175
160, 0.548431
180, 0.543719
200, 0.538998
220, 0.534238
240, 0.529421
260, 0.524530
280, 0.519553
300, 0.528243
320, 0.549505
340, 0.571971
360, 0.596121
380, 0.622595
400, 0.624825
420, 0.606250
440, 0.728382
460, 0.726426
480, 0.725554
500, 0.709965
520, 0.714049
540, 0.722594
560, 0.485733
580, 0.491643
600, 0.497405
620, 0.503028
640, 0.508520
660, 0.513890
680, 0.519147
700, 0.524301
720, 0.529363
740, 0.534348
760, 0.539273
780, 0.544160
800, 0.549043
820, 0.553971
