File: series_4
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[132,152]
Representative subsequence 2: position=[198,219]
Representative subsequence 3: position=[241,270]

==== ClaSP Scores ====
Timestep, Score
100, 0.576623
120, 0.613866
140, 0.669247
160, 0.695473
180, 0.729690
200, 0.734721
220, 0.721617
240, 0.729426
260, 0.711363
280, 0.694300
300, 0.678623
320, 0.673234
340, 0.655112
360, 0.649921
380, 0.640581
400, 0.626245
420, 0.617148
440, 0.612665
460, 0.596097
480, 0.579343
500, 0.593594
520, 0.599888
540, 0.600625
560, 0.583271
580, 0.593417
600, 0.608277
620, 0.612021
640, 0.622828
660, 0.630340
680, 0.606183
700, 0.579894
720, 0.588314
740, 0.595557
760, 0.590143
780, 0.584879
800, 0.608197
820, 0.621080
840, 0.607460
860, 0.579954
