File: series_9
Data points: 999
Detected representative subsequence: 2

Representative subsequence 1: position=[120,146]
Representative subsequence 2: position=[199,308]

==== ClaSP Scores ====
Timestep, Score
100, 0.629718
120, 0.771505
140, 0.770653
160, 0.794229
180, 0.797383
200, 0.836547
220, 0.848169
240, 0.826005
260, 0.811785
280, 0.807975
300, 0.788511
320, 0.770513
340, 0.771975
360, 0.744849
380, 0.734383
400, 0.741446
420, 0.738778
440, 0.734425
460, 0.705652
480, 0.690314
500, 0.679971
520, 0.694639
540, 0.720662
560, 0.716027
580, 0.692615
600, 0.698811
620, 0.720713
640, 0.716761
660, 0.736000
680, 0.757084
700, 0.737693
720, 0.677852
740, 0.653492
760, 0.630257
780, 0.625218
800, 0.623708
820, 0.643933
840, 0.613178
860, 0.591704
