File: series_5
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[122,146]
Representative subsequence 2: position=[193,295]
Representative subsequence 3: position=[333,356]

==== ClaSP Scores ====
Timestep, Score
100, 0.602948
120, 0.695783
140, 0.739137
160, 0.742801
180, 0.790179
200, 0.820552
220, 0.825033
240, 0.813111
260, 0.802034
280, 0.790921
300, 0.780166
320, 0.768435
340, 0.768548
360, 0.767982
380, 0.745195
400, 0.759246
420, 0.773563
440, 0.762749
460, 0.738030
480, 0.705627
500, 0.693747
520, 0.718458
540, 0.715166
560, 0.680931
580, 0.680398
600, 0.666201
620, 0.690893
640, 0.726939
660, 0.745633
680, 0.603934
700, 0.552489
720, 0.556740
740, 0.552651
760, 0.566220
780, 0.591276
800, 0.611656
820, 0.623159
840, 0.618233
860, 0.629269
