File: series_13
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[197,217]
Representative subsequence 2: position=[293,314]
Representative subsequence 3: position=[354,382]

==== ClaSP Scores ====
Timestep, Score
100, 0.563685
120, 0.620545
140, 0.663893
160, 0.687103
180, 0.717708
200, 0.740266
220, 0.746718
240, 0.762095
260, 0.772386
280, 0.787199
300, 0.786867
320, 0.758699
340, 0.767793
360, 0.776569
380, 0.753465
400, 0.765105
420, 0.744254
440, 0.697019
460, 0.709806
480, 0.707874
500, 0.679498
520, 0.713023
540, 0.682367
560, 0.652945
580, 0.636602
600, 0.650131
620, 0.656685
640, 0.671971
660, 0.671028
680, 0.683310
700, 0.655162
720, 0.598695
740, 0.587974
760, 0.596785
780, 0.597924
800, 0.605922
820, 0.625035
840, 0.638996
860, 0.616672
