File: series_18
Data points: 999
Detected representative subsequence: 2

Representative subsequence 1: position=[102,125]
Representative subsequence 2: position=[232,265]

==== ClaSP Scores ====
Timestep, Score
100, 0.541562
120, 0.613362
140, 0.636558
160, 0.642578
180, 0.664339
200, 0.715100
220, 0.761700
240, 0.762653
260, 0.598671
280, 0.613125
300, 0.626819
320, 0.627989
340, 0.610450
360, 0.585789
380, 0.563917
400, 0.567945
420, 0.578911
440, 0.590050
460, 0.589418
480, 0.564244
500, 0.540734
520, 0.545573
540, 0.563989
560, 0.580175
580, 0.585340
600, 0.593353
620, 0.577396
640, 0.531702
660, 0.514259
680, 0.518925
700, 0.525652
720, 0.531786
740, 0.537987
760, 0.540246
780, 0.544666
800, 0.554246
