File: series_12
Data points: 999
Detected representative subsequence: 1

Representative subsequence 1: position=[172,212]

==== ClaSP Scores ====
Timestep, Score
100, 0.631317
120, 0.648053
140, 0.708792
160, 0.763047
180, 0.820677
200, 0.827201
220, 0.803800
240, 0.803005
260, 0.797965
280, 0.775313
300, 0.748691
320, 0.706543
340, 0.699964
360, 0.685639
380, 0.671486
400, 0.680122
420, 0.671368
440, 0.671509
460, 0.650303
480, 0.664099
500, 0.684286
520, 0.720484
540, 0.737917
560, 0.738736
580, 0.719407
600, 0.695753
620, 0.646203
640, 0.632916
660, 0.593610
680, 0.577495
700, 0.544383
720, 0.530813
740, 0.526629
760, 0.537795
780, 0.538328
800, 0.545511
820, 0.554720
