File: series_3
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[120,145]
Representative subsequence 2: position=[200,240]
Representative subsequence 3: position=[244,309]

==== ClaSP Scores ====
Timestep, Score
100, 0.641419
120, 0.780469
140, 0.779571
160, 0.800436
180, 0.806057
200, 0.842904
220, 0.856043
240, 0.825451
260, 0.810370
280, 0.801779
300, 0.770458
320, 0.746686
340, 0.750481
360, 0.725271
380, 0.711179
400, 0.717725
420, 0.714452
440, 0.711762
460, 0.684052
480, 0.669488
500, 0.665759
520, 0.676861
540, 0.701451
560, 0.693957
580, 0.669401
600, 0.666193
620, 0.686308
640, 0.701025
660, 0.741278
680, 0.766066
700, 0.748763
720, 0.679150
740, 0.655525
760, 0.633026
780, 0.626979
800, 0.624209
820, 0.654620
840, 0.612039
860, 0.579419
