Index,Dataset,Representative_Subsequence_Positions,DetectTime
1,Weather_hs,"[100,127],[200,223],[287,307],[524,561],[628,668],[1030,1067],[1373,1393],[1419,1455],[3124,3146],[3527,3547],[4117,4138],[4346,4366],[5199,5220],[5873,5895],[6112,6145],[8419,8439],[8637,8657],[8661,8681],[9316,9336],[9344,9372],[9970,9990],[10416,10436],[10566,10588],[10703,10723],[10797,10817],[10886,10906],[13949,13969],[14221,14257],[14671,14691],[15410,15452],[15467,15487],[15914,15934],[16034,16056],[16155,16229],[16356,16377],[16512,16532],[17645,17665],[17901,17922],[18483,18503],[23906,23944],[33240,33260],[35311,35351],[35562,35602],[43061,43101],[43212,43232]",249.8784
2,Weather_hs,"[100,120],[139,159],[329,352],[370,391],[630,666],[732,752],[794,815],[970,1019],[1111,1132],[1543,1563],[1585,1609],[1646,1670],[2772,2803],[2832,2852],[2906,2929],[4105,4125],[5440,5500],[5751,5778],[5888,5908],[8462,8482],[9243,9276],[9348,9368],[10032,10057],[13719,13739],[13950,13970],[14203,14223],[14468,14488],[14820,14847],[14904,14927],[14956,15009],[15709,15745],[15774,15794],[16191,16231],[23898,23922],[23923,23946],[26909,26967],[27130,27150],[27570,27590],[35503,35523],[39744,39764],[40033,40053]",249.1658
3,Weather_hs,"[124,144],[210,250],[469,497],[595,638],[1035,1068],[1425,1475],[1663,1690],[2051,2071],[2201,2232],[4262,4282],[5422,5496],[6046,6066],[13657,13677],[14264,14286],[14654,14689],[14837,14863],[14889,14927],[16178,16231],[16342,16362],[17077,17098],[17197,17224],[17852,17872],[18257,18277],[18326,18346],[18360,18380],[18491,18522],[23371,23391],[23432,23452],[24152,24172],[24408,24428],[24448,24469],[24554,24576],[25432,25452],[25901,25921],[26496,26516],[26538,26558],[30702,30742],[31453,31473],[32284,32326],[32351,32371],[32850,32890],[33138,33158],[35142,35182],[35303,35323],[35397,35437],[35539,35599],[35621,35661],[42896,42916],[42957,42997],[43019,43079],[43546,43586]",244.4404
4,Weather_hs,"[101,121],[187,213],[275,304],[650,684],[723,744],[882,902],[951,1000],[1052,1074],[1362,1409],[1623,1651],[1759,1802],[1864,1884],[2195,2215],[2217,2237],[3100,3120],[5880,5940],[9642,9667],[10145,10165],[14870,14906],[15930,15950],[16049,16085],[16229,16249],[23862,23900]",248.6425
5,Weather_hs,"[100,131],[199,219],[285,313],[439,461],[576,596],[672,692],[966,986],[990,1010],[1014,1047],[1049,1070],[1343,1382],[1400,1420],[1892,1918],[4494,4524],[5249,5269],[5443,5476],[5992,6029],[6093,6128],[9594,9667],[13090,13110],[13650,13677],[13709,13733],[13838,13858],[14904,14924],[16167,16219],[16242,16262],[16332,16352],[16378,16416],[17067,17087],[17279,17301],[32879,32899],[43538,43595]",247.8003
