File: series_3
Data points: 999
Detected representative subsequence: 1

Representative subsequence 1: position=[96,139]

==== ClaSP Scores ====
Timestep, Score
100, 0.854751
120, 0.846628
140, 0.811714
160, 0.768512
180, 0.723038
200, 0.686817
220, 0.664002
240, 0.676046
260, 0.642538
280, 0.619071
300, 0.599949
320, 0.599705
340, 0.615898
360, 0.617101
380, 0.616333
400, 0.617933
420, 0.637778
440, 0.662751
460, 0.695693
480, 0.701307
500, 0.715643
520, 0.729899
540, 0.725727
560, 0.695506
580, 0.669001
600, 0.667694
620, 0.644930
640, 0.632497
660, 0.648324
680, 0.661978
700, 0.640578
720, 0.604303
740, 0.623107
760, 0.638043
780, 0.634466
800, 0.618460
820, 0.590042
840, 0.590881
860, 0.600633
