File: series_1
Data points: 999
Detected representative subsequence: 2

Representative subsequence 1: position=[97,138]
Representative subsequence 2: position=[150,190]

==== ClaSP Scores ====
Timestep, Score
100, 0.890346
120, 0.899072
140, 0.858382
160, 0.819509
180, 0.791357
200, 0.746565
220, 0.744271
240, 0.765929
260, 0.771916
280, 0.756416
300, 0.728231
320, 0.699866
340, 0.697981
360, 0.704452
380, 0.707551
400, 0.704367
420, 0.721756
440, 0.744653
460, 0.771839
480, 0.776253
500, 0.790012
520, 0.806689
540, 0.802616
560, 0.780831
580, 0.761590
600, 0.756125
620, 0.727304
640, 0.697157
660, 0.708960
680, 0.703560
700, 0.691450
720, 0.697206
740, 0.708376
760, 0.718667
780, 0.712844
800, 0.683829
820, 0.664995
840, 0.679780
860, 0.696666
