File: series_2
Data points: 999
Detected representative subsequence: 2

Representative subsequence 1: position=[97,137]
Representative subsequence 2: position=[169,209]

==== ClaSP Scores ====
Timestep, Score
100, 0.904785
120, 0.920659
140, 0.889557
160, 0.849362
180, 0.819451
200, 0.791339
220, 0.768653
240, 0.743970
260, 0.728657
280, 0.708651
300, 0.704032
320, 0.689595
340, 0.662834
360, 0.667516
380, 0.648030
400, 0.656970
420, 0.671681
440, 0.677799
460, 0.681466
480, 0.694176
500, 0.695431
520, 0.698729
540, 0.706203
560, 0.701603
580, 0.682737
600, 0.650720
620, 0.633566
640, 0.653115
660, 0.654632
680, 0.626718
700, 0.626788
720, 0.656499
740, 0.650792
760, 0.656923
780, 0.664672
800, 0.661441
820, 0.658640
840, 0.635906
860, 0.650998
