File: series_5
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[118,152]
Representative subsequence 2: position=[197,218]
Representative subsequence 3: position=[518,538]

==== ClaSP Scores ====
Timestep, Score
100, 0.729273
120, 0.798305
140, 0.777840
160, 0.746358
180, 0.779245
200, 0.764170
220, 0.721636
240, 0.705220
260, 0.735209
280, 0.765377
300, 0.788310
320, 0.766359
340, 0.731679
360, 0.725330
380, 0.712553
400, 0.724348
420, 0.742468
440, 0.752399
460, 0.773626
480, 0.786189
500, 0.786200
520, 0.796043
540, 0.763161
560, 0.749335
580, 0.755719
600, 0.749886
620, 0.732002
640, 0.729037
660, 0.736901
680, 0.735062
700, 0.727087
720, 0.702747
740, 0.668005
760, 0.663265
780, 0.687867
800, 0.702273
820, 0.686858
840, 0.688194
860, 0.705019
