File: series_0
Data points: 999
Detected representative subsequence: 2

Representative subsequence 1: position=[97,137]
Representative subsequence 2: position=[159,199]

==== ClaSP Scores ====
Timestep, Score
100, 0.902753
120, 0.922256
140, 0.894107
160, 0.852452
180, 0.816129
200, 0.790218
220, 0.773025
240, 0.749816
260, 0.729814
280, 0.733050
300, 0.720550
320, 0.704353
340, 0.679537
360, 0.682838
380, 0.663166
400, 0.666393
420, 0.677532
440, 0.686105
460, 0.702948
480, 0.693736
500, 0.704668
520, 0.713585
540, 0.718260
560, 0.698167
580, 0.661017
600, 0.643694
620, 0.647700
640, 0.654900
660, 0.660341
680, 0.663414
700, 0.670289
720, 0.673665
740, 0.670278
760, 0.626812
780, 0.580284
800, 0.568223
820, 0.588368
840, 0.598070
860, 0.600909
