File: series_3
Data points: 45216
Detected representative subsequence: 48

Representative subsequence 1: position=[100,125]
Representative subsequence 2: position=[241,265]
Representative subsequence 3: position=[288,308]
Representative subsequence 4: position=[431,451]
Representative subsequence 5: position=[721,750]
Representative subsequence 6: position=[795,840]
Representative subsequence 7: position=[995,1015]
Representative subsequence 8: position=[1247,1286]
Representative subsequence 9: position=[1338,1392]
Representative subsequence 10: position=[2223,2243]
Representative subsequence 11: position=[2589,2609]
Representative subsequence 12: position=[2973,3004]
Representative subsequence 13: position=[3317,3338]
Representative subsequence 14: position=[3450,3470]
Representative subsequence 15: position=[3478,3498]
Representative subsequence 16: position=[3785,3805]
Representative subsequence 17: position=[3870,3929]
Representative subsequence 18: position=[3930,3950]
Representative subsequence 19: position=[4117,4166]
Representative subsequence 20: position=[4348,4368]
Representative subsequence 21: position=[4505,4529]
Representative subsequence 22: position=[5175,5195]
Representative subsequence 23: position=[5831,5871]
Representative subsequence 24: position=[5900,5934]
Representative subsequence 25: position=[6062,6082]
Representative subsequence 26: position=[6115,6171]
Representative subsequence 27: position=[6519,6539]
Representative subsequence 28: position=[15006,15026]
Representative subsequence 29: position=[15171,15211]
Representative subsequence 30: position=[15885,15914]
Representative subsequence 31: position=[15917,15953]
Representative subsequence 32: position=[16203,16224]
Representative subsequence 33: position=[16227,16247]
Representative subsequence 34: position=[23776,23856]
Representative subsequence 35: position=[23861,24002]
Representative subsequence 36: position=[42850,42890]
Representative subsequence 37: position=[42892,42932]
Representative subsequence 38: position=[43015,43092]
Representative subsequence 39: position=[43108,43148]
Representative subsequence 40: position=[43177,43217]
Representative subsequence 41: position=[43255,43317]
Representative subsequence 42: position=[43318,43420]
Representative subsequence 43: position=[43885,43925]
Representative subsequence 44: position=[44405,44445]
Representative subsequence 45: position=[44525,44565]
Representative subsequence 46: position=[44589,44691]
Representative subsequence 47: position=[44783,44823]
Representative subsequence 48: position=[44839,44879]

==== ClaSP Scores ====
Timestep, Score
100, 0.670611
120, 0.669604
140, 0.668781
160, 0.668196
180, 0.667697
200, 0.667280
220, 0.666940
240, 0.666586
260, 0.666313
280, 0.665938
300, 0.665677
320, 0.665483
340, 0.665286
360, 0.665109
380, 0.664949
400, 0.664776
420, 0.664611
440, 0.664479
460, 0.664253
480, 0.664091
500, 0.663975
520, 0.663844
540, 0.663690
560, 0.663577
580, 0.663455
600, 0.663352
620, 0.663119
640, 0.663866
660, 0.663716
680, 0.663513
700, 0.663377
720, 0.663260
740, 0.663876
760, 0.663746
780, 0.664337
800, 0.667634
820, 0.669295
840, 0.669052
860, 0.668815
880, 0.668552
900, 0.668286
920, 0.668068
940, 0.668367
960, 0.668140
980, 0.667869
1000, 0.667596
1020, 0.667405
1040, 0.667218
