File: series_3
Data points: 1258
Detected representative subsequence: 5

Representative subsequence 1: position=[120,140]
Representative subsequence 2: position=[224,244]
Representative subsequence 3: position=[249,300]
Representative subsequence 4: position=[334,354]
Representative subsequence 5: position=[962,1003]

==== ClaSP Scores ====
Timestep, Score
100, 0.610697
120, 0.617771
140, 0.610265
160, 0.640463
180, 0.621497
200, 0.650609
220, 0.711020
240, 0.710871
260, 0.755359
280, 0.759142
300, 0.743828
320, 0.743470
340, 0.733164
360, 0.698983
380, 0.704064
400, 0.704530
420, 0.698425
440, 0.725829
460, 0.737693
480, 0.727984
500, 0.717952
520, 0.723602
540, 0.737655
560, 0.746587
580, 0.739447
600, 0.719156
620, 0.703356
640, 0.701661
660, 0.721224
680, 0.741386
700, 0.756763
720, 0.764884
740, 0.770976
760, 0.757582
780, 0.746078
800, 0.744962
820, 0.739150
840, 0.730724
860, 0.757423
880, 0.771511
900, 0.771505
920, 0.776206
940, 0.788811
960, 0.811265
980, 0.851571
1000, 0.830572
1020, 0.721935
1040, 0.699305
1060, 0.710609
1080, 0.724217
1100, 0.728655
1120, 0.697241
