File: series_6
Data points: 1258
Detected representative subsequence: 5

Representative subsequence 1: position=[110,150]
Representative subsequence 2: position=[243,284]
Representative subsequence 3: position=[345,391]
Representative subsequence 4: position=[619,838]
Representative subsequence 5: position=[847,887]

==== ClaSP Scores ====
Timestep, Score
100, 0.747910
120, 0.785700
140, 0.814179
160, 0.787562
180, 0.761224
200, 0.743530
220, 0.760352
240, 0.792396
260, 0.838760
280, 0.818428
300, 0.801872
320, 0.793878
340, 0.805821
360, 0.809518
380, 0.806667
400, 0.796566
420, 0.783012
440, 0.775035
460, 0.784457
480, 0.772096
500, 0.754545
520, 0.741689
540, 0.726492
560, 0.724070
580, 0.748347
600, 0.777575
620, 0.799938
640, 0.807925
660, 0.812846
680, 0.819588
700, 0.821243
720, 0.831842
740, 0.844294
760, 0.865187
780, 0.869488
800, 0.875086
820, 0.884828
840, 0.837687
860, 0.844191
880, 0.828676
900, 0.801556
920, 0.798202
940, 0.780667
960, 0.803070
980, 0.796517
1000, 0.753506
1020, 0.703926
1040, 0.688703
1060, 0.693226
1080, 0.682337
1100, 0.625000
1120, 0.608969
