File: series_8
Data points: 1258
Detected representative subsequence: 3

Representative subsequence 1: position=[129,150]
Representative subsequence 2: position=[415,491]
Representative subsequence 3: position=[685,725]

==== ClaSP Scores ====
Timestep, Score
100, 0.734079
120, 0.738293
140, 0.739803
160, 0.710459
180, 0.684269
200, 0.651885
220, 0.639307
240, 0.630537
260, 0.623332
280, 0.627417
300, 0.648037
320, 0.639623
340, 0.677227
360, 0.727354
380, 0.771785
400, 0.810547
420, 0.831229
440, 0.841547
460, 0.830771
480, 0.825675
500, 0.793851
520, 0.775620
540, 0.755659
560, 0.760222
580, 0.774044
600, 0.747640
620, 0.732859
640, 0.729255
660, 0.752461
680, 0.760866
700, 0.812392
720, 0.805895
740, 0.761312
760, 0.720344
780, 0.713669
800, 0.724169
820, 0.735355
840, 0.737450
860, 0.759242
880, 0.764401
900, 0.764214
920, 0.754068
940, 0.730388
960, 0.659793
980, 0.656314
1000, 0.655989
1020, 0.674855
1040, 0.684414
1060, 0.706194
1080, 0.743212
