File: series_4
Data points: 1258
Detected representative subsequence: 4

Representative subsequence 1: position=[80,210]
Representative subsequence 2: position=[220,328]
Representative subsequence 3: position=[332,372]
Representative subsequence 4: position=[970,1095]

==== ClaSP Scores ====
Timestep, Score
100, 0.938262
120, 0.918885
140, 0.931421
160, 0.897882
180, 0.907963
200, 0.913431
220, 0.914456
240, 0.938262
260, 0.931648
280, 0.928910
300, 0.926209
320, 0.924523
340, 0.899312
360, 0.896076
380, 0.871140
400, 0.849696
420, 0.826304
440, 0.807938
460, 0.795388
480, 0.782809
500, 0.782114
520, 0.765320
540, 0.760094
560, 0.765065
580, 0.756701
600, 0.755517
620, 0.747942
640, 0.733424
660, 0.719645
680, 0.720511
700, 0.710889
720, 0.708457
740, 0.732307
760, 0.733778
780, 0.738550
800, 0.752621
820, 0.761381
840, 0.765064
860, 0.773006
880, 0.785084
900, 0.803935
920, 0.806392
940, 0.788707
960, 0.817985
980, 0.840562
1000, 0.859149
1020, 0.874404
1040, 0.893550
1060, 0.903678
1080, 0.854670
1100, 0.802641
1120, 0.670389
